Jahr,Produktion_Mio_t,Strompreis,Eisenschrott_Quote,CO2_Preis,CO2_pro_t_Pred,Gesamt_CO2_Mio_t
2024,1870.000,90.000,30.000,90.000,2005.816,3750.875
2025,1881.818,91.818,31.364,95.455,1971.853,3710.670
2026,1893.636,93.636,32.727,100.909,1941.424,3676.352
2027,1905.455,95.455,34.091,106.364,1914.528,3648.047
2028,1917.273,97.273,35.455,111.818,1891.166,3625.880
2029,1929.091,99.091,36.818,117.273,1871.336,3609.977
2030,1940.909,100.909,38.182,122.727,1855.039,3600.462
2031,1952.727,102.727,39.545,128.182,1842.276,3597.462
2032,1964.545,104.545,40.909,133.636,1833.045,3601.100
2033,1976.364,106.364,42.273,139.091,1827.348,3611.504
2034,1988.182,108.182,43.636,144.545,1825.184,3628.797
2035,2000.000,110.000,45.000,150.000,1826.552,3653.105
